Protein1	Protein2	Interaction	Prediction
BxATG8_4	pdb6pq2	0	0
A0A1I7S161_BURXY	pdb7x5c	0	0
A0A1I7RKM9_BURXY	pdb2lfi	0	0.366
BxCYP33C9_2	pdb2mh2	1	0.512
BxATG1_5	pdb2ksi	0	0.209
Bx_cpl_1_3	pdb2kif	0	0.001
I0QQT8_9GAMM	pdb5ks6	0	0.012
BxATG9_1	pdb2kzv	0	0
I4N4Q3_9PSED	pdb6psi	0	nan
BxATG9_2	pdb3hbe	0	0.125
BxCYP33C9_2	pdb2n3j	0	nan
Bx_cpl_3_2	pdb6xry	0	0
BxATG16_5	pdb2ksi	0	0
BxATG9_5	pdb2krt	1	0.509
BxCYP33C4_3	pdb5krw	0	0.153
I0QT18_9GAMM	pdb1xes	0	nan
BxPel1_3	pdb2l9q	0	0.005
Bx_cpl_3_4	7mzw	1	0.952
Bx_cpl_2_3	pdb2kpn	0	0.246
Bx_cpl_3_4	pdb2kpn	1	0.912
cyp_33C9_2	pdb2kw6	1	0.867
Bx_cpl_3_5	pdb2kt7	0	0.103
BxCYP33C4_3	pdb2l08	0	0.169
BxCYP33C4_3	pdb2ljw	0	0.188
I4N8B0_9PSED	pdb2luz	0	0.027
BxCYP33C9_5	pdb6pqe	0	0.099
BxCYP33C9_4	pdb7lu8	0	0
BxSapB1	pdb2kzx	1	0.978
BxATG16_5	pdb5z55	0	0
I4N0B6_9PSED	pdb8ftw	0	0.018
BxCYP33C4_1	pdb2nt0	0	nan
I0QNP5_9GAMM	pdb2m8x	0	0.019
A0A1I7S6H9_BURXY	pdb2nsx	0	nan
Bx_tlp_1_3	pdb2m8x	1	0.892
BxATG9_4	pdb3sdq	0	0.048
I4MYK4_9PSED	pdb8s9c	0	nan
Bx_cpl_1_3	6dxa	0	nan
BxATG16_2	pdb7lu8	0	0.007
BxCYP33C9_4	pdb2lf2	0	0
A0A060N411_BURMU	pdb7x5c	0	0.001
BxCYP33C9_3	pdb2mm6	0	0
Bx_Prx_5	pdb7wcg	0	0.4
cyp_33C9_1	pdb2m47	1	0.873
A0A1I7RL37_BURXY	pdb3sdr	1	0.505
SapB3_2	pdb2ll8	0	0.031
BxPel1_5	pdb7knv	0	0.181
SapB3_1	pdb6pri	0	0.036
BxSapB1_3	pdb2lml	0	0.081
I0QNP5_9GAMM	pdb2lak	0	0.022
Bx_Prx_5	pdb2l7q	1	0.607
BxCYP33C4_1	pdb2ljl	0	0.194
A0A1I7S5S3_BURXY	pdb2mv0	0	0.003
BxCYP33C9_3	pdb2kpt	0	0
A0A060N411_BURMU	pdb2l5q	0	0.002
BxPel1_5	pdb2kw6	0	0.097
BxATG8_2	pdb1u0u	0	nan
BxCYP33C9_1	pdb2ltl	0	0.292
BxPel1_4	pdb7lu8	0	0.006
Bx_cpl_3_4	pdb2l82	1	0.91
Bx_tlp_1_2	pdb3sdr	0	0.059
A0A1I7RJ71_BURXY	pdb8s9c	0	nan
Bx_tlp_1_1	pdb6prq	0	0.036
cyp_33C9_4	pdb8ftx	0	0.31
I0QT18_9GAMM	pdb2mk2	0	0.038
A0A1I7RKM9_BURXY	pdb6lqz	0	0.245
A0A1I7RKV3_BURXY	pdb2kzx	0	0
SapB3_1	pdb2kt1	0	0.064
cyp_33C9_5	pdb2kpm	0	0.18
BxCYP33C9_3	pdb6xr7	0	0
Bx_cpl_2_3	pdb2lfi	0	0.255
I0QT18_9GAMM	pdb3sdu	0	0.016
Bx_cpl_3_3	pdb6j4i	1	0.894
BxCYP33C4_3	pdb2kl6	0	0.161
cyp_33C9_5	pdb2kzw	0	0.168
I4MYK4_9PSED	pdb6pri	0	0.047
BxCYP33D3_3	pdb3sae	1	0.738
BxATG16_1	pdb2m1l	0	nan
BxPel1_4	pdb2luz	0	0.004
Bx_Prx_3	pdb6prq	0	0.405
Bx_cpl_2_5	pdb2l05	0	0.455
BxSapB1	pdb2kkq	1	0.961
Bx_tlp_1_1	pdb6prp	0	0.032
Bx_cpl_3_1	pdb7y55	0	nan
A0A1I7RL37_BURXY	pdb2lxu	0	0.44
BxCYP33C4_3	pdb6pqe	0	0.25
BxATG1_4	pdb2l5q	0	0
BxATG1_4	pdb2kpt	0	0
A0A1I7S6H9_BURXY	pdb2llf	0	0.073
I4MYK4_9PSED	pdb2mv0	0	0.032
BxATG1_2	pdb2l08	0	0
BxCYP33D3_3	pdb2lo0	0	nan
Bx_cpl_3_5	pdb2kpm	0	0.066
A0A1I7RKM9_BURXY	pdb2l05	0	0.47
BxPel1_1	pdb4lej	0	0
I4N5T3_9PSED	pdb3sdr	0	0.097
I0QNA0_9GAMM	pdb2lmd	0	0.008
Bx_cpl_2_2	pdb7jyz	1	0.508
I0QQT8_9GAMM	pdb2ma6	0	0.007
Bx_cpl_2_1	pdb2l3f	0	0.085
I0QMH2_9GAMM	pdb2lok	0	0.496
BxSapB1_4	pdb5zau	0	0.138
Bx_cpl_2_5	pdb2lok	0	0.435
BxPel1_4	pdb6iwj	0	nan
I4N5X7_9PSED	pdb2l5q	0	0.005
Bx_cpl_2_2	pdb8ftx	0	0.317
A0A1I7RKM9_BURXY	pdb1u0u	0	nan
BxSapB1_4	pdb2lxu	0	0.114
A0A1I7RL37_BURXY	pdb6xry	1	0.744
cyp_33C9_5	pdb2lxu	0	0.235
BxPel1_2	pdb3sdu	0	0.017
Bx_Prx_2	2kcx	0	0.091
BxPel1_4	pdb2ljl	0	0.005
BxCYP33D3_1	pdb2mm5	0	0.004
BxATG8_2	pdb2ma6	0	0.009
BxPel1_2	pdb6e4h	0	nan
BxATG8_3	pdb2kz5	0	0.003
BxATG8_5	pdb2nsx	0	nan
BxATG9_2	pdb2l9q	0	0.27
BxCYP33C9_2	pdb6j4i	0	0.402
BxATG8_2	pdb2l3f	0	0.03
A0A7I8X2Z5_BURXY	pdb2l09	0	0.001
BxATG16_5	pdb6prp	0	0
Bx_Prx_1	pdb2kvo	0	0.074
SapB3_1	pdb3sdq	0	0.045
SapB3_5	pdb2kt7	0	0.396
BxCYP33C4_3	pdb3sdv	0	0.158
cyp_33C9_3	pdb2lak	0	0.23
BxATG16_2	pdb6prq	0	0.006
I0QT18_9GAMM	pdb2ljw	0	0.011
BxATG9_4	pdb2l0c	0	0.033
cyp_33C9_3	pdb2lna	0	0.248
Bx_tlp_1_2	pdb2ma5	0	0.03
cyp_33C9_1	pdb2ljl	1	0.911
Bx_cpl_3_3	pdb2kzv	1	0.812
A0A1I7RYC6_BURXY	2kcx	0	0.08
BxATG9_4	pdb6prj	0	0.034
Bx_Prx_3	pdb2kt7	0	0.384
I0QNA0_9GAMM	pdb2kt8	0	0.013
BxCYP33C9_5	pdb2kzw	0	0.055
I0QWV1_9GAMM	pdb8ftx	0	0.073
BxCYP33D3_2	pdb8ftw	0	0
BxSapB1_3	pdb8ftx	0	0.163
Bx_cpl_1_4	pdb7n99	0	0.009
BxATG8_3	pdb2lnu	0	0.004
I4N5T3_9PSED	pdb8c29	0	nan
BxSapB1_4	pdb2n3k	0	0.079
Bx_Prx_2	pdb2l0d	0	0.019
A0A1I7S5S3_BURXY	pdb2ll8	0	0.004
A0A1I7RL98_BURXY	pdb6xrg	0	0
I0QYP7_9GAMM	pdb2kd1	0	0.009
A0A1I7SF60_BURXY	pdb6prq	0	0
BxCYP33D3_5	pdb2lk2	0	0.234
I0QQT8_9GAMM	pdb2kl6	0	0.008
BxPel1_3	pdb5krw	0	0.002
BxCYP33C4_2	pdb3hbe	0	0.073
A0A1I7S9L6_BURXY	pdb3hbd	0	0
A0A1I7S5S3_BURXY	pdb6tfb	0	nan
Bx_cpl_2_5	pdb2lxu	0	0.344
BxCYP33D3_3	pdb3s9v	0	nan
I0QT18_9GAMM	pdb2lo0	0	nan
cyp_33C9_1	pdb6xr6	1	0.952
Bx_Prx_5	pdb2kru	1	0.66
A0A060N411_BURMU	pdb2lok	0	0.002
BxATG16_2	pdb2nt1	0	nan
BxPel1_2	pdb2lx7	0	0.013
BxATG1_4	pdb7lns	0	0
BxATG9_4	pdb3sdv	0	0.026
Bx_cpl_1_4	pdb2lio	0	0.008
BxCYP33C4_5	pdb2kz5	1	0.68
BxATG8_1	pdb2kpt	0	0
cyp_33C9_5	pdb2kl6	0	0.18
BxATG8_3	pdb2mbm	0	0.002
Bx_Prx_4	pdb6ppt	0	0.007
A0A1I7S412_BURXY	pdb2mm6	0	0
cyp_33C9_5	pdb3sdt	0	0.286
A0A1I7S162_BURXY	pdb1xet	0	nan
BxSapB1_3	pdb2kw2	0	0.136
BxCYP33C9_5	pdb6j4i	0	0.078
BxPel1_1	pdb6tfb	0	nan
BxATG8_4	pdb2lo0	0	nan
A0A1I7RL98_BURXY	pdb7n99	0	0
BxATG1_5	pdb2lze	0	0.124
BxCYP33D3_5	pdb5krw	0	0.192
BxCYP33C9_2	pdb2kwb	1	0.522
BxCYP33C9_4	pdb5uke	0	0
I4N5T3_9PSED	pdb2n69	0	0.053
BxATG1_2	pdb2kl6	0	0
BxCYP33D3_3	pdb6wlf	0	nan
BxATG1_2	pdb3hbh	0	0
A0A1I7RL98_BURXY	pdb2lq3	0	0
Bx_cpl_1_5	pdb6psi	0	nan
I4N4Q3_9PSED	pdb2l09	0	0.002
BxATG8_1	pdb6pqm	0	0
I0QQT8_9GAMM	pdb3s9v	0	nan
cyp_33C9_1	pdb2l9q	1	0.936
A0A1I7RJ71_BURXY	pdb5zau	0	0
Bx_cpl_1_4	pdb2n3j	0	nan
BxATG1_1	pdb2kct	0	0.003
BxCYP33C9_3	pdb2l5q	0	0
A0A1I7S412_BURXY	pdb6xr7	0	0
BxPel1_1	pdb6xrg	0	0
A0A1I7S161_BURXY	pdb6e4j	0	0
BxATG16_5	pdb2n66	0	0
BxPel1_4	pdb7jyz	0	0.016
I4MYK4_9PSED	pdb2kw2	0	0.063
BxATG8_1	pdb6e4h	0	nan
BxATG16	pdb2ko1	0	nan
Bx_cpl_2_1	pdb2lak	0	0.033
A0A1I7RYC6_BURXY	pdb2lnz	0	nan
SapB3_2	pdb7knv	0	0.052
BxATG1_5	pdb7mzz	0	0.124
A0A1I7S412_BURXY	pdb2lnz	0	nan
I0QYP7_9GAMM	pdb2n76	0	0.005
I0QQT8_9GAMM	pdb2ll8	0	0.01
BxPel1_1	pdb2ko1	0	nan
BxATG9_2	pdb2kt1	0	0.284
I0QM84_9GAMM	pdb2mk2	0	0.268
BxATG8_3	pdb2kd1	0	0.003
BxCYP33C4_1	pdb7mzz	0	0.164
Bx_Prx_2	pdb2lmd	0	0.013
BxCYP33C9_3	pdb7qcb	0	0
Bx_Prx_2	pdb2lek	0	0.022
BxATG1_3	pdb4lej	0	0.057
BxPel1_3	pdb2lio	0	0.003
Bx_cpl_1_1	pdb2nt1	0	nan
BxCYP33C9_3	pdb8c29	0	nan
A0A060N411_BURMU	pdb2ljl	0	0.001
Bx_Prx_1	pdb2l0a	0	0.095
BxCYP33D3_3	pdb2lf2	1	0.689
cyp_33C9_1	pdb2kw2	1	0.921
Bx_cpl_1_1	pdb2m16	0	0.03
BxCYP33C4_3	pdb3hbh	0	0.175
Bx_tlp_1_3	pdb2n66	1	0.897
Bx_Prx_3	2kcx	1	0.709
I0QNA0_9GAMM	pdb2ksi	0	0.023
SapB3_4	pdb6prq	0	0.004
BxCYP33C9_5	pdb2kwb	0	0.123
BxATG16_1	pdb2l0c	0	0
Bx_cpl_1_3	pdb2ltd	0	nan
BxATG8_1	pdb2nsx	0	nan
cyp_33C9_4	pdb2l0d	0	0.19
BxSapB1_4	pdb1xet	0	nan
Bx_tlp_1_5	pdb2ko1	0	nan
BxCYP33C4_3	pdb2kzw	0	0.15
BxATG16_5	pdb2nt0	0	nan
I4N4M3_9PSED	pdb2lok	0	0.002
Bx_cpl_1_5	pdb2lxu	0	0.198
BxCYP33C9_1	pdb2lni	0	0.395
Bx_cpl_2_2	pdb2ksi	0	0.337
A0A060N411_BURMU	pdb2lnz	0	nan
A0A1I7S161_BURXY	pdb6lqz	0	0
BxCYP33D3_5	pdb6j4i	0	0.254
Bx_Prx_1	pdb5krw	0	0.074
BxATG9_1	pdb2lek	0	0
I4N4M3_9PSED	pdb2lze	0	0.001
I4MYK4_9PSED	pdb2kzv	0	0.023
Bx_Prx_4	pdb2n76	0	0.008
Bx_cpl_2_3	pdb6cgh	0	0.291
Bx_cpl_2_1	pdb6nu4	0	0.026
Bx_cpl_2_2	pdb1u0u	0	nan
Bx_cpl_2_1	pdb2lnu	0	0.063
BxCYP33C4_2	pdb6wlf	0	nan
BxPel1_3	pdb2kz5	0	0.003
A0A1I7RKV3_BURXY	pdb2lmd	0	0
A0A1I7RIV0_BURXY	pdb2kl6	0	0.003
Bx_cpl_3_1	pdb2lcg	0	0.353
Bx_cpl_1_1	pdb6xry	0	0.045
A0A1I7RT14_BURXY	pdb2nsx	0	nan
A0A1I7RKM9_BURXY	pdb2kpm	0	0.288
BxATG16_3	pdb2lxu	1	0.944
BxCYP33D3_3	pdb2ko1	0	nan
Bx_cpl_1_3	pdb2m47	0	0
A0A1I7RKV3_BURXY	pdb2nt0	0	nan
Bx_tlp_1_5	pdb2kt8	1	0.933
I4N0B6_9PSED	pdb2l07	0	0.026
A0A1I7RT14_BURXY	pdb2kpm	0	0.001
I4N4M3_9PSED	pdb2kpm	0	0.001
cyp_33C9_3	pdb2l07	0	0.498
A0A1I7RKV3_BURXY	pdb2kru	0	0
BxCYP33D3_3	pdb2l08	1	0.62
BxPel1_4	pdb2lw4	0	0.004
A0A1I7S6H9_BURXY	pdb2lo0	0	nan
BxATG9_5	pdb7n99	0	0.387
A0A1I7RJ71_BURXY	pdb2kt7	0	0
Bx_Prx_1	pdb2kpt	0	0.104
Bx_tlp_1_5	pdb6e4j	1	0.931
BxATG1_4	pdb2ll8	0	0
A0A7I8WZ01_BURXY	pdb2lf2	0	0
I4N5T3_9PSED	pdb3sdv	0	0.055
I0QNP5_9GAMM	pdb2mbl	0	0.019
A0A7I8X2Z5_BURXY	pdb2mbl	0	0.001
I0QYY0_9GAMM	pdb2kt8	1	0.878
SapB3_5	pdb2kwb	0	0.477
Bx_tlp_1_2	pdb2mbm	0	0.03
A0A1I7RL98_BURXY	pdb3sae	0	0
SapB3_2	pdb2kw6	0	0.026
BxATG8_4	pdb6iwj	0	nan
I0QQT8_9GAMM	pdb2lch	0	0.012
BxCYP33D3_4	pdb6prj	0	0.064
BxATG16_3	pdb2l9q	1	0.967
A0A1I7S412_BURXY	pdb6e4h	0	nan
Bx_cpl_2_2	pdb2lio	0	0.219
BxATG16_3	pdb6psi	0	nan
A0A1I7SF60_BURXY	pdb7lns	0	0
Bx_cpl_2_2	pdb2ljl	0	0.25
Bx_Prx_4	pdb2l8v	0	0.015
I4N4M3_9PSED	pdb7n99	0	0.002
Bx_cpl_1_1	pdb6nu4	0	0.007
BxATG1_4	pdb6amv	0	0
cyp_33C9_5	pdb2kwb	0	0.329
Bx_cpl_1_4	pdb2l82	0	0.008
Bx_cpl_2_5	pdb7n99	0	0.374
A0A1I7RL37_BURXY	pdb2l0c	0	0.412
BxATG16_2	pdb6prj	0	0.004
BxATG8_2	pdb2kim	0	0.011
cyp_33C9_1	pdb2ltl	1	0.885
BxATG8_1	pdb2krt	0	0.001
I4N5T3_9PSED	pdb2l9p	0	0.096
Bx_Prx_1	pdb5ks6	0	0.112
I4N4Q3_9PSED	pdb2ljw	0	0.002
BxATG9_2	pdb2kt7	0	0.197
BxCYP33C4_1	pdb2mh2	0	0.229
BxPel1_4	pdb2ltd	0	nan
Bx_cpl_1_1	pdb6lqz	0	0.007
BxCYP33D3_5	pdb2n3k	0	0.192
Bx_tlp_1_3	pdb6tfb	0	nan
I4N4M3_9PSED	pdb7sxb	0	0.001
BxATG1_4	pdb7sxb	0	0
A0A1I7S9L6_BURXY	pdb6prp	0	0
cyp_33C9_5	pdb2n3j	0	nan
Bx_cpl_1_4	pdb7knv	0	0.012
SapB3_3	pdb2ll8	0	0.356
BxSapB1_5	pdb7sxb	0	0.071
SapB3_3	pdb6pqm	0	0.414
A0A1I7SCA3_BURXY	pdb6iwj	0	nan
I0QYY0_9GAMM	pdb2l07	1	0.948
Bx_Prx_3	pdb6e4j	0	0.341
BxCYP33D3_5	pdb2kzv	0	0.147
A0A1I7S5S3_BURXY	pdb2lio	0	0.005
Bx_cpl_2_5	pdb2kwb	0	0.454
BxATG1_5	pdb6pri	0	0.127
BxATG8_2	pdb2m16	0	0.037
Bx_Prx_2	pdb2nsx	0	nan
Bx_tlp_1_2	pdb2kkq	0	0.034
BxCYP33C9_5	pdb6nu4	0	0.048
I4N8B0_9PSED	pdb3hbd	0	0.02
A0A1I7S9L6_BURXY	pdb2ma6	0	0
A0A060N411_BURMU	pdb2m47	0	0.001
A0A7I8X2Z5_BURXY	pdb2kpn	0	0.001
BxCYP33C4_3	pdb2lv2	0	0.204
A0A1I7S6H9_BURXY	pdb2loy	0	0.101
BxATG1_5	pdb2kzv	0	0.065
Bx_Prx_4	pdb2l7q	0	0.017
A0A1I7RKM9_BURXY	pdb5vso	0	0.241
BxPel1_1	pdb2lak	0	0
BxATG9_4	pdb2kzx	0	0.048
Bx_Prx_1	pdb3sdv	0	0.076
Bx_cpl_2_3	pdb2lze	0	0.25
I4N5X7_9PSED	pdb2ko1	0	nan
Bx_cpl_3_2	pdb6kna	0	0
SapB3_5	pdb2l9q	0	0.498
BxPel1_2	pdb2lok	0	0.019
A0A1I7S6H9_BURXY	pdb3sdr	0	0.097
BxCYP33C4_3	pdb2m8x	0	0.145
Bx_Prx_2	pdb2l9q	0	0.037
BxSapB1_4	pdb2l8v	0	0.141
Bx_cpl_2_2	pdb8s9c	0	nan
BxATG16_2	pdb8ftw	0	0.008
BxATG16	pdb2l09	1	0.969
Bx_tlp_1_2	pdb2l05	0	0.072
BxPel1_2	pdb7qcc	0	0.009
BxPel1_1	pdb6psi	0	nan
BxPel1_5	pdb7lns	0	0.18
Bx_cpl_1_5	pdb1qyc	0	nan
Bx_cpl_1_2	pdb2l82	0	0.012
BxSapB1_4	pdb6amv	0	0.138
BxCYP33C9_5	pdb2ltd	0	nan
BxATG9_3	pdb6pq2	0	0.027
Bx_cpl_1_4	pdb6e4j	0	0.008
BxSapB1_3	pdb8ubh	0	0.185
SapB3_2	2kyq	0	0.122
BxCYP33C4_3	pdb2nsx	0	nan
I0QT18_9GAMM	pdb2lcg	0	0.018
SapB3_3	pdb2kt7	0	0.424
Bx_Prx_1	pdb2kt1	0	0.182
A0A1I7SF60_BURXY	pdb6prp	0	0
I4N5X7_9PSED	pdb2lek	0	0.003
A0A1I7S161_BURXY	pdb2l0d	0	0
A0A1I7RL37_BURXY	pdb2mbl	0	0.333
cyp_33C9_4	pdb2kt1	0	0.33
I0QQT8_9GAMM	pdb2lok	0	0.016
A0A1I7RJ71_BURXY	pdb1u0u	0	nan
BxSapB1	pdb2m1l	0	nan
A0A1I7RJ71_BURXY	pdb6iwj	0	nan
BxATG8_1	pdb5krw	0	0
BxSapB1	pdb6nzl	1	0.952
Bx_cpl_1_3	pdb7qcc	0	0
I4N5T3_9PSED	pdb8ubh	0	0.142
BxPel1_5	pdb2lnz	0	nan
A0A1I7RYC6_BURXY	pdb2ljl	0	0.023
BxATG16	pdb2kz5	1	0.975
BxPel1_2	pdb6o6w	0	0.008
BxCYP33C9_5	pdb2l8v	0	0.102
BxCYP33D3_2	pdb7kix	0	0
A0A1I7RJ71_BURXY	pdb2ll8	0	0
BxPel1_4	pdb4lej	0	0.003
I4N8B0_9PSED	pdb6cgh	0	0.036
I0QT18_9GAMM	pdb2lf2	0	0.013
BxCYP33C9_5	pdb2krt	0	0.141
A0A1I7SF60_BURXY	pdb5z55	0	0
A0A7I8X2Z5_BURXY	pdb2kpm	0	0.001
BxATG8_5	pdb2kzw	0	0
Bx_cpl_2_5	pdb2kvo	0	0.262
BxSapB1_2	pdb2kpn	1	0.583
BxCYP33D3_1	pdb6xry	0	0.025
Bx_cpl_2_5	pdb2m1l	0	nan
A0A7I8WZ01_BURXY	pdb6ppt	0	0
A0A1I7S6H9_BURXY	pdb2l9p	0	0.096
BxATG8_2	pdb7m5t	0	0.022
I4MYK4_9PSED	pdb2l0c	0	0.041
Bx_cpl_2_4	pdb2kim	0	0.184
BxATG9_3	pdb2ljl	0	0.029
I0QYY0_9GAMM	pdb2lek	1	0.882
I0QWV1_9GAMM	pdb2kzv	0	0.022
BxATG9_2	pdb1u0u	0	nan
A0A1I7S6H9_BURXY	pdb2mm5	0	0.043
BxATG16_2	pdb7knv	0	0.007
SapB3_4	pdb6xrg	0	0.011
BxATG8_3	pdb3hbe	0	0.002
BxCYP33C4_1	pdb6tfb	0	nan
I0QNP5_9GAMM	pdb5nce	0	0.035
A0A1I7S412_BURXY	pdb7n99	0	0
cyp_33C9_1	pdb6e4h	0	nan
A0A1I7RL37_BURXY	pdb7m5t	1	0.538
A0A1I7SF60_BURXY	pdb2l9q	0	0
Bx_Prx_3	pdb7qcc	0	0.259
I4N4Q3_9PSED	pdb2kt7	0	0.003
I0QNP5_9GAMM	pdb2l08	0	0.022
BxATG1_5	pdb5z55	0	0.069
SapB3_4	6dxa	0	nan
A0A1I7S6H9_BURXY	pdb2ksi	0	0.135
BxCYP33C9_2	pdb6xr6	1	0.622
BxATG1_4	pdb2n66	0	0
A0A1I7RKM9_BURXY	pdb2m16	1	0.577
A0A7I8X2Z5_BURXY	pdb1xes	0	nan
I0QNP5_9GAMM	pdb5kp0	0	0.02
BxCYP33D3_4	2kyq	0	0.22
I0QNP5_9GAMM	pdb1u0u	0	nan
BxCYP33C4_2	2kcx	0	0.346
I4N0B6_9PSED	pdb2kd1	0	0.015
SapB3_1	7mzw	0	0.064
Bx_cpl_3_2	pdb6nzl	0	0
BxATG8_5	pdb2lze	0	0
Bx_cpl_1_1	pdb2n76	0	0.009
A0A1I7SF60_BURXY	pdb6kna	0	0
I4N4M3_9PSED	pdb3hbd	0	0.001
I0QWV1_9GAMM	pdb3sdu	0	0.057
BxPel1_3	pdb7wcg	0	0.002
I4N4M3_9PSED	pdb6jxw	0	0.001
A0A1I7S162_BURXY	pdb2mm6	0	0.001
Bx_cpl_3_2	pdb7kix	0	0
A0A1I7S5S3_BURXY	pdb6amv	0	0.006
BxATG16	pdb2kwb	1	0.983
BxSapB1_3	pdb2kru	0	0.174
A0A1I7RKV3_BURXY	pdb2kim	0	0
I0QQT8_9GAMM	pdb8ftx	0	0.019
A0A1I7SF60_BURXY	pdb2kkq	0	0
A0A1I7S161_BURXY	pdb2mbm	0	0
BxPel1_1	pdb5vso	0	0
BxATG8_1	pdb2luz	0	0
A0A1I7RYC6_BURXY	pdb2mbl	0	0.012
BxATG9_1	pdb2ltd	0	nan
BxATG9_1	pdb2lso	0	0
A0A1I7RYC6_BURXY	pdb2lx7	0	0.019
Bx_tlp_1_5	pdb6lqz	1	0.889
Bx_Prx_5	pdb8ftw	1	0.648
Bx_cpl_2_4	pdb6prj	0	0.217
BxSapB1_4	pdb2kwb	0	0.17
I4N8B0_9PSED	pdb7wcg	0	0.019
Bx_cpl_2_5	pdb2nt0	0	nan
I0QYY0_9GAMM	pdb2lfi	1	0.882
BxATG8_5	pdb6prj	0	0
BxATG9_2	pdb2l3a	0	nan
Bx_cpl_2_3	pdb2kct	0	0.189
Bx_Prx_1	pdb5uke	0	0.114
I4N0B6_9PSED	pdb2lni	0	0.015
I0QMH2_9GAMM	pdb2n66	0	0.314
BxATG16_3	pdb2lso	1	0.925
Bx_cpl_2_4	pdb2lak	0	0.185
I0QMH2_9GAMM	pdb7x5c	0	0.304
BxATG1_4	pdb2kwb	0	0
BxCYP33C4_4	pdb2l8v	0	0.004
BxSapB1_4	pdb8s9c	0	nan
A0A1I7S5S3_BURXY	pdb2m8x	0	0.003
SapB3_2	pdb2l0a	0	0.032
SapB3_4	pdb2m01	0	0.003
Bx_cpl_1_5	pdb5uke	0	0.209
BxCYP33D3_5	pdb2lch	0	0.272
BxATG16_5	pdb3sdv	0	0
SapB3_4	pdb2lmd	0	0.002
BxATG16_3	pdb2mh2	1	0.962
I0QYP7_9GAMM	pdb2kif	0	0.008
BxSapB1_2	pdb7mzx	1	0.68
BxPel1_3	pdb2lok	0	0.005
BxATG8_2	pdb2l9q	0	0.026
SapB3_3	pdb3sdv	0	0.307
SapB3_4	pdb3sdu	0	0.004
Bx_Prx_1	pdb2lgh	0	0.108
BxCYP33D3_3	pdb2mh2	1	0.768
BxCYP33D3_1	pdb6j4i	0	0.007
BxATG16_1	pdb5ks6	0	0
BxATG9_5	pdb2l8v	0	0.415
I0QM84_9GAMM	pdb2l3f	0	0.191
I4N5X7_9PSED	2kl7	0	0.009
BxCYP33C4_3	pdb2l82	0	0.204
A0A1I7SF60_BURXY	pdb2m01	0	0
BxCYP33C9_1	pdb2l3a	0	nan
Bx_cpl_3_1	pdb2ma6	0	0.193
A0A1I7RL98_BURXY	pdb2kif	0	0
Bx_cpl_2_5	pdb3hbh	0	0.294
Bx_Prx_3	pdb2m01	0	0.35
Bx_cpl_1_3	pdb3sae	0	0.001
Bx_Prx_4	pdb2l82	0	0.011
A0A1I7RKV3_BURXY	pdb2n76	0	0
Bx_cpl_3_4	pdb2lmd	1	0.862
I4N5T3_9PSED	pdb1u0u	0	nan
BxCYP33C9_4	pdb2kpn	0	0
BxPel1_2	pdb2lml	0	0.011
A0A1I7SF60_BURXY	pdb2m16	0	0
BxATG8_2	pdb2lf2	0	0.015
A0A1I7RIV0_BURXY	6dxa	0	nan
I0QT18_9GAMM	pdb7x5c	0	0.008
SapB3_3	pdb2kpn	0	0.384
BxPel1_5	pdb2mm6	0	0.093
A0A1I7RIV0_BURXY	pdb2lok	0	0.005
A0A1I7S162_BURXY	pdb2kct	0	0.001
A0A1I7S9L6_BURXY	pdb6jxu	0	0
I4N0B6_9PSED	pdb3sdr	0	0.014
cyp_33C9_3	pdb7x5c	0	0.204
BxSapB1	pdb2kt1	1	0.985
BxATG1_3	pdb7kix	0	0.138
BxCYP33C9_4	pdb2lxu	0	0
BxCYP33C9_5	pdb5vso	0	0.048
Bx_cpl_3_5	pdb2kzv	0	0.046
Bx_cpl_1_3	pdb5z55	0	0
BxCYP33D3_3	pdb2kkq	1	0.606
BxATG1_1	pdb2lnz	0	nan
BxATG8_2	6dxa	0	nan
A0A1I7RT14_BURXY	pdb2lna	0	0.002
A0A1I7SCF8_BURXY	pdb2lfi	1	0.958
Bx_Prx_5	pdb2ltd	0	nan
SapB3_4	pdb6pq2	0	0.003
Bx_cpl_3_1	pdb8ftw	0	0.396
BxCYP33C9_1	pdb2nt0	0	nan
Bx_cpl_2_3	pdb2ltl	0	0.235
BxATG1_4	pdb2lnu	0	0
I4N4M3_9PSED	pdb2mbl	0	0.001
A0A1I7RKM9_BURXY	pdb5kp0	0	0.282
BxSapB1_4	pdb2n76	0	0.079
I4N4Q3_9PSED	pdb2lxu	0	0.003
BxATG9_4	pdb2kt8	0	0.037
BxCYP33C9_4	pdb2l09	0	0
BxATG1_3	pdb2lcg	0	0.109
A0A1I7RT14_BURXY	pdb2l9p	0	0.002
BxATG8_3	pdb2m8x	0	0.002
BxATG16_1	pdb5nce	0	0
Bx_cpl_1_3	pdb2ljl	0	0.001
I0QMH2_9GAMM	pdb2m01	0	0.402
BxSapB1_3	pdb2mv0	0	0.071
BxATG8_3	pdb2lv2	0	0.002
A0A1I7S5S3_BURXY	pdb6o6w	0	0.003
BxATG9_2	pdb2mm5	0	0.104
A0A1I7SF60_BURXY	pdb2mry	0	0
BxCYP33D3_4	pdb2ksh	0	0.123
A0A1I7S9L6_BURXY	pdb4lej	0	0
I4N4M3_9PSED	pdb3hbh	0	0.001
Bx_Prx_3	pdb2l7q	0	0.446
